Repeat	Transcript	ReadID	polyA
WT_rep1	AT1G12090.1	42b80260-63d2-496b-a141-444849cbfad8	TRUE
WT_rep1	AT1G12090.1	dc3d3318-cb2e-4ed5-b67c-a9404e4b73ea	FALSE
WT_rep1	AT1G12090.1	31c169d3-5131-4473-ad54-73f87413d867	TRUE
WT_rep1	AT1G12090.1	4cf80128-dfc3-4040-8187-69e428796c3c	TRUE
WT_rep1	AT1G12090.1	9d578df3-ec55-4169-99d6-e71dc7415982	TRUE
WT_rep1	AT1G12090.1	4eadc2fc-f16a-4535-905b-b6b4f45970a4	TRUE
WT_rep1	AT1G12090.1	d61f6460-ce6e-4888-823e-874e53ec2834	TRUE
WT_rep1	AT1G12090.1	d46a6950-f441-4c4f-aa5e-b5b266aba07f	FALSE
WT_rep1	AT1G12090.1	1e9398b5-e4b4-46b0-96c9-7140db5bb799	TRUE
WT_rep1	AT1G12090.1	71028d32-3160-41b2-9ad9-3bc826da3614	TRUE
WT_rep1	AT1G12090.1	bee312b8-9fa1-4b10-8529-7cacd4f55064	TRUE
WT_rep1	AT1G12090.1	215acd6e-a123-449c-a505-6aa09cf1ac9d	FALSE
WT_rep1	AT1G12090.1	6a3aacdd-061e-456c-b397-549a5ee326aa	TRUE
WT_rep1	AT1G12090.1	27ccc004-9ad0-46c9-9b2c-ed1cc2860a95	TRUE
WT_rep1	AT1G12090.1	3cf0e1e1-4c95-4c9d-89ba-eacf08c2b863	TRUE
WT_rep1	AT1G12090.1	86cb3a27-52ea-4a04-ab65-2b5e92b3c081	TRUE
WT_rep1	AT1G12090.1	ed093d01-6ec6-4266-9add-dae436afea49	TRUE
WT_rep1	AT1G12090.1	6d0cc337-4b9e-4955-aaba-d054f1d5abd4	TRUE
WT_rep1	AT1G12090.1	fd19c48f-6f99-4a23-8750-87f34001f657	FALSE
WT_rep1	AT1G12090.1	1699d14f-8dc4-4500-a13c-424a0795802d	TRUE
WT_rep1	AT1G12090.1	5341140f-c32f-478b-b1dc-3074379fbf58	TRUE
WT_rep1	AT1G12090.1	aa3f16b9-5dd2-4fd3-bc11-51f3d482bd7e	TRUE
WT_rep1	AT1G12090.1	1639affa-db67-435e-a0c6-f5a998bdf24c	TRUE
WT_rep1	AT1G12090.1	e2d1da33-b489-4537-8366-00aaf1cf9c99	TRUE
WT_rep1	AT1G12090.1	3ff021f8-9b47-45f4-b2d5-8583df80c4cd	TRUE
WT_rep1	AT1G12090.1	2b93c7b3-ffb0-484c-8ddf-7eed8c7e30fb	TRUE
WT_rep1	AT1G12090.1	c24e522d-e7ad-4608-b28e-650695a925de	TRUE
WT_rep1	AT1G12090.1	82774487-e95b-4ebe-93de-7e22d0a026d1	FALSE
WT_rep1	AT1G12090.1	413a4de9-bf53-4efd-a7c0-7d03c1e4b7b4	TRUE
WT_rep1	AT1G12090.1	f7520b08-4ec1-4718-a4a7-0eb2db29fc61	FALSE
WT_rep1	AT1G12090.1	74524f75-c873-475a-8990-68b86615d8ed	FALSE
WT_rep1	AT1G12090.1	f8de9c36-605b-405b-92b6-cd6655e902e6	TRUE
WT_rep1	AT1G12090.1	43757880-0d54-4ce2-8b35-fde47c4d70ac	FALSE
WT_rep1	AT1G12090.1	15b0e76c-02dd-494c-b2cb-ea0723dab9ec	FALSE
